Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
blocks.9.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.9.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.9.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.9.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.9.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.9.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.9.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.9.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.9.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.9.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.9.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.9.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.9.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.9.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.9.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.9.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.9.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.9.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.10.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.10.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.10.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.10.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.10.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.10.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.10.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.10.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.10.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.10.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.10.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.10.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.10.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
blocks.10.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.10.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.10.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
blocks.10.cross_attn.to_out.bias                                        torch.Size([1536])              torch.float32   True
blocks.10.mlp.mlp.0.weight                                              torch.Size([8192, 1536])        torch.float32   True
blocks.10.mlp.mlp.0.bias                                                torch.Size([8192])              torch.float32   True
blocks.10.mlp.mlp.2.weight                                              torch.Size([1536, 8192])        torch.float32   True
blocks.10.mlp.mlp.2.bias                                                torch.Size([1536])              torch.float32   True
blocks.11.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.11.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.11.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.11.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.11.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.11.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.11.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.11.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.11.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.11.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.11.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.11.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.11.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
blocks.11.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.11.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.11.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
blocks.11.cross_attn.to_out.bias                                        torch.Size([1536])              torch.float32   True
blocks.11.mlp.mlp.0.weight                                              torch.Size([8192, 1536])        torch.float32   True
blocks.11.mlp.mlp.0.bias                                                torch.Size([8192])              torch.float32   True
blocks.11.mlp.mlp.2.weight                                              torch.Size([1536, 8192])        torch.float32   True
blocks.11.mlp.mlp.2.bias                                                torch.Size([1536])              torch.float32   True
blocks.12.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.12.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.12.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.12.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.12.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.12.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.12.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.12.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.12.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.12.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.12.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.12.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.12.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
blocks.12.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.12.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.12.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
blocks.12.cross_attn.to_out.bias                                        torch.Size([1536])              torch.float32   True
blocks.12.mlp.mlp.0.weight                                              torch.Size([8192, 1536])        torch.float32   True
blocks.12.mlp.mlp.0.bias                                                torch.Size([8192])              torch.float32   True
blocks.12.mlp.mlp.2.weight                                              torch.Size([1536, 8192])        torch.float32   True
blocks.12.mlp.mlp.2.bias                                                torch.Size([1536])              torch.float32   True
blocks.13.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.13.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.13.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.13.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.13.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.13.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.13.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.13.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.13.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.13.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.13.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.13.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.13.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
