Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
blocks.13.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.13.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.13.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
blocks.13.cross_attn.to_out.bias                                        torch.Size([1536])              torch.float32   True
blocks.13.mlp.mlp.0.weight                                              torch.Size([8192, 1536])        torch.float32   True
blocks.13.mlp.mlp.0.bias                                                torch.Size([8192])              torch.float32   True
blocks.13.mlp.mlp.2.weight                                              torch.Size([1536, 8192])        torch.float32   True
blocks.13.mlp.mlp.2.bias                                                torch.Size([1536])              torch.float32   True
blocks.14.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.14.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.14.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.14.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.14.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.14.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.14.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.14.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.14.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.14.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.14.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.14.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.14.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
blocks.14.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.14.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.14.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
blocks.14.cross_attn.to_out.bias                                        torch.Size([1536])              torch.float32   True
blocks.14.mlp.mlp.0.weight                                              torch.Size([8192, 1536])        torch.float32   True
blocks.14.mlp.mlp.0.bias                                                torch.Size([8192])              torch.float32   True
blocks.14.mlp.mlp.2.weight                                              torch.Size([1536, 8192])        torch.float32   True
blocks.14.mlp.mlp.2.bias                                                torch.Size([1536])              torch.float32   True
blocks.15.modulation                                                    torch.Size([9216])              torch.float32   True
blocks.15.norm2.weight                                                  torch.Size([1536])              torch.float32   True
blocks.15.norm2.bias                                                    torch.Size([1536])              torch.float32   True
blocks.15.self_attn.to_qkv.weight                                       torch.Size([4608, 1536])        torch.float32   True
blocks.15.self_attn.to_qkv.bias                                         torch.Size([4608])              torch.float32   True
blocks.15.self_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.15.self_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.15.self_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.15.self_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.15.cross_attn.to_q.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.15.cross_attn.to_q.bias                                          torch.Size([1536])              torch.float32   True
blocks.15.cross_attn.to_kv.weight                                       torch.Size([3072, 1024])        torch.float32   True
blocks.15.cross_attn.to_kv.bias                                         torch.Size([3072])              torch.float32   True
blocks.15.cross_attn.q_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.15.cross_attn.k_rms_norm.gamma                                   torch.Size([12, 128])           torch.float32   True
blocks.15.cross_attn.to_out.weight                                      torch.Size([1536, 1536])        torch.float32   True
